Region,Group,Dimension,Party,Vote_Pct_Regional
Scotland,Owner,tenure,SNP,31.36
Scotland,Renter,tenure,Con,23.51
Scotland,Renter,tenure,Green,5.35
Scotland,Renter,tenure,IND,1.31
Scotland,Renter,tenure,LD,2.22
Scotland,Renter,tenure,Lab,33.98
Scotland,Renter,tenure,Reform,5.03
Scotland,Renter,tenure,SNP,28.6
Scotland,White,eth_binary,Con,12.9
Scotland,White,eth_binary,Green,4.12
Scotland,White,eth_binary,IND,1.47
Scotland,White,eth_binary,LD,7.98
Scotland,White,eth_binary,Lab,36.22
Scotland,White,eth_binary,Reform,7.38
Scotland,White,eth_binary,SNP,29.94
South,ABC1,ipsos_grade,Con,30.43
South,ABC1,ipsos_grade,Green,7.43
South,ABC1,ipsos_grade,IND,1.68
South,ABC1,ipsos_grade,LD,24.08
South,ABC1,ipsos_grade,Lab,23.86
South,ABC1,ipsos_grade,Reform,12.52
South,Age 18-24,yg_age,Con,21.92
South,Age 18-24,yg_age,Green,10.29
South,Age 18-24,yg_age,IND,0.31
South,Age 18-24,yg_age,LD,25.7
South,Age 18-24,yg_age,Lab,26.22
South,Age 18-24,yg_age,Reform,15.56
South,Age 25-49,yg_age,Con,24.78
South,Age 25-49,yg_age,Green,11.63
South,Age 25-49,yg_age,IND,3.95
South,Age 25-49,yg_age,LD,8.49
South,Age 25-49,yg_age,Lab,35.03
South,Age 25-49,yg_age,Reform,16.11
South,Age 50-64,yg_age,Con,37.37
South,Age 50-64,yg_age,Green,0.96
South,Age 50-64,yg_age,IND,0.86
South,Age 50-64,yg_age,LD,28.75
South,Age 50-64,yg_age,Lab,18.46
South,Age 50-64,yg_age,Reform,13.59
South,Age 65+,yg_age,Con,37.27
South,Age 65+,yg_age,Green,0.96
South,Age 65+,yg_age,IND,0.77
South,Age 65+,yg_age,LD,29.53
South,Age 65+,yg_age,Lab,17.63
South,Age 65+,yg_age,Reform,13.84
South,C2DE,ipsos_grade,Con,28.65
South,C2DE,ipsos_grade,Green,6.76
South,C2DE,ipsos_grade,IND,2.8
South,C2DE,ipsos_grade,LD,13.83
South,C2DE,ipsos_grade,Lab,30.23
South,C2DE,ipsos_grade,Reform,17.73
South,Degree,education,Con,13.22
South,Degree,education,Green,19.34
South,Degree,education,IND,6.13
South,Degree,education,LD,46.58
South,Degree,education,Lab,13.5
South,Degree,education,Reform,1.23
South,Detached,housing,Con,33.9
South,Detached,housing,Green,4.26
South,Detached,housing,IND,2.19
South,Detached,housing,LD,23.55
South,Detached,housing,Lab,20.55
South,Detached,housing,Reform,15.55
South,Flat,housing,Con,23.15
South,Flat,housing,Green,11.89
South,Flat,housing,IND,1.99
South,Flat,housing,LD,13.81
South,Flat,housing,Lab,35.35
South,Flat,housing,Reform,13.8
South,Ipsos 18-34,ipsos_age,Con,15.69
South,Ipsos 18-34,ipsos_age,Green,20.85
South,Ipsos 18-34,ipsos_age,IND,3.71
South,Ipsos 18-34,ipsos_age,LD,6.0
South,Ipsos 18-34,ipsos_age,Lab,36.28
South,Ipsos 18-34,ipsos_age,Reform,17.48
South,Ipsos 35-54,ipsos_age,Con,34.04
South,Ipsos 35-54,ipsos_age,Green,1.28
South,Ipsos 35-54,ipsos_age,IND,2.18
South,Ipsos 35-54,ipsos_age,LD,23.07
South,Ipsos 35-54,ipsos_age,Lab,26.83
South,Ipsos 35-54,ipsos_age,Reform,12.6
South,Ipsos 55+,ipsos_age,Con,36.51
South,Ipsos 55+,ipsos_age,Green,1.32
South,Ipsos 55+,ipsos_age,IND,1.14
South,Ipsos 55+,ipsos_age,LD,25.78
South,Ipsos 55+,ipsos_age,Lab,20.01
South,Ipsos 55+,ipsos_age,Reform,15.24
South,NS-SeC Higher,yg_nsec,Con,29.21
South,NS-SeC Higher,yg_nsec,Green,8.16
South,NS-SeC Higher,yg_nsec,IND,1.86
South,NS-SeC Higher,yg_nsec,LD,25.75
South,NS-SeC Higher,yg_nsec,Lab,23.79
South,NS-SeC Higher,yg_nsec,Reform,11.23
South,NS-SeC Intermediate,yg_nsec,Con,31.41
South,NS-SeC Intermediate,yg_nsec,Green,6.78
South,NS-SeC Intermediate,yg_nsec,IND,1.7
South,NS-SeC Intermediate,yg_nsec,LD,21.99
South,NS-SeC Intermediate,yg_nsec,Lab,23.7
South,NS-SeC Intermediate,yg_nsec,Reform,14.43
South,NS-SeC Routine,yg_nsec,Con,27.31
South,NS-SeC Routine,yg_nsec,Green,7.07
South,NS-SeC Routine,yg_nsec,IND,3.06
South,NS-SeC Routine,yg_nsec,LD,12.42
South,NS-SeC Routine,yg_nsec,Lab,32.59
South,NS-SeC Routine,yg_nsec,Reform,17.54
South,No Degree,education,Con,37.1
South,No Degree,education,Green,1.46
South,No Degree,education,IND,0.42
South,No Degree,education,LD,6.37
South,No Degree,education,Lab,33.19
South,No Degree,education,Reform,21.46
South,Non-White,eth_binary,Con,14.94
South,Non-White,eth_binary,Green,10.82
South,Non-White,eth_binary,IND,1.84
South,Non-White,eth_binary,LD,6.03
South,Non-White,eth_binary,Lab,54.21
South,Non-White,eth_binary,Reform,12.16
South,Owner,tenure,Con,32.22
South,Owner,tenure,Green,7.84
South,Owner,tenure,IND,0.69
South,Owner,tenure,LD,19.95
South,Owner,tenure,Lab,21.9
South,Owner,tenure,Reform,17.39
South,Renter,tenure,Con,23.74
South,Renter,tenure,Green,5.49
South,Renter,tenure,IND,5.58
South,Renter,tenure,LD,17.11
South,Renter,tenure,Lab,38.08
South,Renter,tenure,Reform,9.99
South,White,eth_binary,Con,31.4
South,White,eth_binary,Green,6.64
South,White,eth_binary,IND,2.27
South,White,eth_binary,LD,20.7
South,White,eth_binary,Lab,23.56
South,White,eth_binary,Reform,15.44
Wales,ABC1,ipsos_grade,Con,19.19
Wales,ABC1,ipsos_grade,Green,5.54
Wales,ABC1,ipsos_grade,IND,1.8
Wales,ABC1,ipsos_grade,LD,6.59
Wales,ABC1,ipsos_grade,Lab,37.07
Wales,ABC1,ipsos_grade,PC,13.57
Wales,ABC1,ipsos_grade,Reform,16.25
Wales,Age 18-24,yg_age,Con,3.0
Wales,Age 18-24,yg_age,Green,8.15
Wales,Age 18-24,yg_age,IND,1.04
Wales,Age 18-24,yg_age,LD,1.04
Wales,Age 18-24,yg_age,Lab,56.42
Wales,Age 18-24,yg_age,PC,15.48
Wales,Age 18-24,yg_age,Reform,14.87
Wales,Age 25-49,yg_age,Con,4.28
Wales,Age 25-49,yg_age,Green,7.25
Wales,Age 25-49,yg_age,IND,3.31
Wales,Age 25-49,yg_age,LD,11.2
Wales,Age 25-49,yg_age,Lab,40.14
Wales,Age 25-49,yg_age,PC,12.5
Wales,Age 25-49,yg_age,Reform,21.32
Wales,Age 50-64,yg_age,Con,30.2
Wales,Age 50-64,yg_age,Green,2.2
Wales,Age 50-64,yg_age,IND,1.47
Wales,Age 50-64,yg_age,LD,3.73
Wales,Age 50-64,yg_age,Lab,32.59
Wales,Age 50-64,yg_age,PC,15.43
Wales,Age 50-64,yg_age,Reform,14.38
Wales,Age 65+,yg_age,Con,31.04
Wales,Age 65+,yg_age,Green,2.16
Wales,Age 65+,yg_age,IND,1.33
Wales,Age 65+,yg_age,LD,4.09
Wales,Age 65+,yg_age,Lab,30.93
Wales,Age 65+,yg_age,PC,16.32
Wales,Age 65+,yg_age,Reform,14.13
Wales,C2DE,ipsos_grade,Con,16.12
Wales,C2DE,ipsos_grade,Green,4.17
Wales,C2DE,ipsos_grade,IND,2.33
Wales,C2DE,ipsos_grade,LD,6.3
Wales,C2DE,ipsos_grade,Lab,38.0
Wales,C2DE,ipsos_grade,PC,15.41
Wales,C2DE,ipsos_grade,Reform,17.68
Wales,Degree,education,Con,10.78
Wales,Degree,education,Green,9.51
Wales,Degree,education,IND,1.82
Wales,Degree,education,LD,0.69
Wales,Degree,education,Lab,45.66
Wales,Degree,education,PC,17.55
Wales,Degree,education,Reform,13.98
Wales,Detached,housing,Con,18.11
Wales,Detached,housing,Green,3.62
Wales,Detached,housing,IND,1.91
Wales,Detached,housing,LD,7.9
Wales,Detached,housing,Lab,31.4
Wales,Detached,housing,PC,18.8
Wales,Detached,housing,Reform,18.27
Wales,Flat,housing,Con,20.69
Wales,Flat,housing,Green,6.94
Wales,Flat,housing,IND,1.59
Wales,Flat,housing,LD,4.61
Wales,Flat,housing,Lab,44.87
Wales,Flat,housing,PC,8.27
Wales,Flat,housing,Reform,13.04
Wales,Ipsos 18-34,ipsos_age,Con,2.64
Wales,Ipsos 18-34,ipsos_age,Green,10.33
Wales,Ipsos 18-34,ipsos_age,IND,2.76
Wales,Ipsos 18-34,ipsos_age,LD,11.16
Wales,Ipsos 18-34,ipsos_age,Lab,42.31
Wales,Ipsos 18-34,ipsos_age,PC,12.06
Wales,Ipsos 18-34,ipsos_age,Reform,18.74
Wales,Ipsos 35-54,ipsos_age,Con,20.73
Wales,Ipsos 35-54,ipsos_age,Green,3.63
Wales,Ipsos 35-54,ipsos_age,IND,2.11
Wales,Ipsos 35-54,ipsos_age,LD,4.19
Wales,Ipsos 35-54,ipsos_age,Lab,39.88
Wales,Ipsos 35-54,ipsos_age,PC,12.73
Wales,Ipsos 35-54,ipsos_age,Reform,16.73
Wales,Ipsos 55+,ipsos_age,Con,22.96
Wales,Ipsos 55+,ipsos_age,Green,2.7
Wales,Ipsos 55+,ipsos_age,IND,1.73
Wales,Ipsos 55+,ipsos_age,LD,5.57
Wales,Ipsos 55+,ipsos_age,Lab,33.44
Wales,Ipsos 55+,ipsos_age,PC,17.25
Wales,Ipsos 55+,ipsos_age,Reform,16.36
Wales,NS-SeC Higher,yg_nsec,Con,19.31
Wales,NS-SeC Higher,yg_nsec,Green,6.16
Wales,NS-SeC Higher,yg_nsec,IND,1.66
Wales,NS-SeC Higher,yg_nsec,LD,6.91
Wales,NS-SeC Higher,yg_nsec,Lab,37.17
Wales,NS-SeC Higher,yg_nsec,PC,13.16
Wales,NS-SeC Higher,yg_nsec,Reform,15.64
Wales,NS-SeC Intermediate,yg_nsec,Con,20.02
Wales,NS-SeC Intermediate,yg_nsec,Green,4.75
Wales,NS-SeC Intermediate,yg_nsec,IND,1.71
Wales,NS-SeC Intermediate,yg_nsec,LD,7.33
Wales,NS-SeC Intermediate,yg_nsec,Lab,33.71
Wales,NS-SeC Intermediate,yg_nsec,PC,16.11
Wales,NS-SeC Intermediate,yg_nsec,Reform,16.38
Wales,NS-SeC Routine,yg_nsec,Con,14.55
Wales,NS-SeC Routine,yg_nsec,Green,4.47
Wales,NS-SeC Routine,yg_nsec,IND,2.57
Wales,NS-SeC Routine,yg_nsec,LD,5.42
Wales,NS-SeC Routine,yg_nsec,Lab,41.54
Wales,NS-SeC Routine,yg_nsec,PC,13.42
Wales,NS-SeC Routine,yg_nsec,Reform,18.03
Wales,No Degree,education,Con,20.45
Wales,No Degree,education,Green,2.7
Wales,No Degree,education,IND,2.21
Wales,No Degree,education,LD,8.95
Wales,No Degree,education,Lab,34.03
Wales,No Degree,education,PC,13.27
Wales,No Degree,education,Reform,18.39
Wales,Non-White,eth_binary,Con,13.84
Wales,Non-White,eth_binary,Green,11.07
Wales,Non-White,eth_binary,IND,0.98
Wales,Non-White,eth_binary,LD,20.73
Wales,Non-White,eth_binary,Lab,41.51
Wales,Non-White,eth_binary,PC,3.12
Wales,Non-White,eth_binary,Reform,8.75
Wales,Owner,tenure,Con,7.03
Wales,Owner,tenure,Green,4.33
Wales,Owner,tenure,IND,2.59
Wales,Owner,tenure,LD,3.3
Wales,Owner,tenure,Lab,42.87
Wales,Owner,tenure,PC,18.45
Wales,Owner,tenure,Reform,21.42
Wales,Renter,tenure,Con,30.28
Wales,Renter,tenure,Green,5.33
Wales,Renter,tenure,IND,1.48
Wales,Renter,tenure,LD,10.24
Wales,Renter,tenure,Lab,31.14
Wales,Renter,tenure,PC,9.84
Wales,Renter,tenure,Reform,11.68
Wales,White,eth_binary,Con,17.85
Wales,White,eth_binary,Green,4.17
Wales,White,eth_binary,IND,2.19
Wales,White,eth_binary,LD,5.04
Wales,White,eth_binary,Lab,37.22
Wales,White,eth_binary,PC,15.69
Wales,White,eth_binary,Reform,17.84
