Region,Group,Dimension,Party,Vote_Pct_Regional
Midlands,Age 18-24,yg_age,LD,8.28
Midlands,Age 18-24,yg_age,Lab,33.08
Midlands,Age 18-24,yg_age,Reform,18.11
Midlands,Age 25-49,yg_age,Con,20.0
Midlands,Age 25-49,yg_age,Green,6.85
Midlands,Age 25-49,yg_age,IND,6.82
Midlands,Age 25-49,yg_age,LD,2.72
Midlands,Age 25-49,yg_age,Lab,48.52
Midlands,Age 25-49,yg_age,Reform,15.09
Midlands,Age 50-64,yg_age,Con,35.94
Midlands,Age 50-64,yg_age,Green,5.66
Midlands,Age 50-64,yg_age,IND,2.22
Midlands,Age 50-64,yg_age,LD,11.4
Midlands,Age 50-64,yg_age,Lab,22.24
Midlands,Age 50-64,yg_age,Reform,22.54
Midlands,Age 65+,yg_age,Con,36.7
Midlands,Age 65+,yg_age,Green,5.71
Midlands,Age 65+,yg_age,IND,1.92
Midlands,Age 65+,yg_age,LD,11.86
Midlands,Age 65+,yg_age,Lab,21.64
Midlands,Age 65+,yg_age,Reform,22.17
Midlands,C2DE,ipsos_grade,Con,23.49
Midlands,C2DE,ipsos_grade,Green,6.46
Midlands,C2DE,ipsos_grade,IND,7.33
Midlands,C2DE,ipsos_grade,LD,5.18
Midlands,C2DE,ipsos_grade,Lab,37.9
Midlands,C2DE,ipsos_grade,Reform,19.64
Midlands,Degree,education,Con,13.56
Midlands,Degree,education,Green,8.55
Midlands,Degree,education,IND,4.19
Midlands,Degree,education,LD,19.99
Midlands,Degree,education,Lab,47.76
Midlands,Degree,education,Reform,5.94
Midlands,Detached,housing,Con,31.08
Midlands,Detached,housing,Green,6.16
Midlands,Detached,housing,IND,2.59
Midlands,Detached,housing,LD,9.87
Midlands,Detached,housing,Lab,30.79
Midlands,Detached,housing,Reform,19.5
Midlands,Flat,housing,Con,22.07
Midlands,Flat,housing,Green,7.27
Midlands,Flat,housing,IND,9.35
Midlands,Flat,housing,LD,2.46
Midlands,Flat,housing,Lab,43.03
Midlands,Flat,housing,Reform,15.82
Midlands,Ipsos 18-34,ipsos_age,Con,14.58
Midlands,Ipsos 18-34,ipsos_age,Green,7.3
Midlands,Ipsos 18-34,ipsos_age,IND,9.62
Midlands,Ipsos 18-34,ipsos_age,LD,2.24
Midlands,Ipsos 18-34,ipsos_age,Lab,54.42
Midlands,Ipsos 18-34,ipsos_age,Reform,11.83
Midlands,Ipsos 35-54,ipsos_age,Con,28.41
Midlands,Ipsos 35-54,ipsos_age,Green,6.24
Midlands,Ipsos 35-54,ipsos_age,IND,5.38
Midlands,Ipsos 35-54,ipsos_age,LD,7.36
Midlands,Ipsos 35-54,ipsos_age,Lab,32.08
Midlands,Ipsos 35-54,ipsos_age,Reform,20.52
Midlands,Ipsos 55+,ipsos_age,Con,34.63
Midlands,Ipsos 55+,ipsos_age,Green,5.98
Midlands,Ipsos 55+,ipsos_age,IND,2.21
Midlands,Ipsos 55+,ipsos_age,LD,10.21
Midlands,Ipsos 55+,ipsos_age,Lab,25.68
Midlands,Ipsos 55+,ipsos_age,Reform,21.3
Midlands,NS-SeC Higher,yg_nsec,Con,30.88
Midlands,NS-SeC Higher,yg_nsec,Green,6.66
Midlands,NS-SeC Higher,yg_nsec,IND,3.05
Midlands,NS-SeC Higher,yg_nsec,LD,9.81
Midlands,NS-SeC Higher,yg_nsec,Lab,33.5
Midlands,NS-SeC Higher,yg_nsec,Reform,16.11
Midlands,NS-SeC Intermediate,yg_nsec,Con,31.32
Midlands,NS-SeC Intermediate,yg_nsec,Green,6.38
Midlands,NS-SeC Intermediate,yg_nsec,IND,2.92
Midlands,NS-SeC Intermediate,yg_nsec,LD,9.14
Midlands,NS-SeC Intermediate,yg_nsec,Lab,32.15
